variable,Temperature,Temperature,Temperature,Relative Humidity,Relative Humidity,Relative Humidity,Mean Sea Level Pressure,Mean Sea Level Pressure,Mean Sea Level Pressure,Precipitation Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,%,%,%,hPa,hPa,hPa,mm,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,2 m,2 m,2 m,MSL,MSL,MSL,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Minimum,Maximum,Mean,Summation,Minimum,Maximum,Mean,None
timestamp,Bázel Temperature [2 m elevation corrected],Bázel Temperature [2 m elevation corrected],Bázel Temperature [2 m elevation corrected],Bázel Relative Humidity [2 m],Bázel Relative Humidity [2 m],Bázel Relative Humidity [2 m],Bázel Mean Sea Level Pressure [MSL],Bázel Mean Sea Level Pressure [MSL],Bázel Mean Sea Level Pressure [MSL],Bázel Precipitation Total,Bázel Wind Speed [10 m],Bázel Wind Speed [10 m],Bázel Wind Speed [10 m],Bázel Wind Direction Dominant [10 m]
20100426T0000,12.820529,18.360529,15.428029,52.0,94.0,68.625,1023.9,1026.9,1025.3583,1.1,2.1897945,14.408997,8.803518,315.40637
20100427T0000,9.360529,19.340528,14.568444,52.0,90.0,73.083336,1024.6,1026.8,1025.5583,0.0,2.3051248,14.494192,7.626986,1.0256348
20100428T0000,9.120529,22.440529,16.033445,42.0,86.0,66.416664,1020.9,1027.3,1024.0625,0.0,2.7416782,6.87779,5.015097,94.99794
20100429T0000,11.610529,24.71053,18.715528,48.0,89.0,61.375,1011.3,1021.8,1015.9919,0.0,1.08,15.277749,6.5232253,141.38416
20100430T0000,12.870529,20.55053,17.327612,32.0,91.0,65.541664,1011.8,1014.8,1013.2625,0.6,4.452954,22.42427,14.329997,283.03223
20100501T0000,11.780529,15.730529,13.293029,74.0,96.0,89.041664,1010.6,1014.4,1012.25824,8.099999,1.484318,10.685391,6.656414,181.96815
20100502T0000,10.140529,14.780529,12.249695,72.0,94.0,83.791664,1007.8,1011.5,1009.39996,5.9,4.198285,23.051247,9.770022,199.10309
20100503T0000,8.150529,14.220529,11.109695,58.0,91.0,73.916664,1008.9,1012.8,1010.8416,0.3,4.73506,21.67487,13.07977,308.5536
20100504T0000,6.0305285,16.020529,11.332196,59.0,95.0,78.583336,1008.1,1013.8,1010.4666,5.6,9.0,31.435646,18.681326,37.059097
20100505T0000,5.7205286,12.960529,9.868445,67.0,96.0,84.125,999.4,1010.9,1005.64166,3.2,7.9526596,23.688984,15.596589,13.598785
20100506T0000,6.1205287,10.150529,8.072195,73.0,96.0,85.583336,998.1,1006.6,1002.75,1.3000001,11.384198,26.727423,17.50649,287.35403
20100507T0000,6.2605286,14.560529,10.335944,56.0,87.0,71.541664,1005.3,1008.5,1006.95416,0.0,1.609969,18.72,13.189158,279.00098
20100508T0000,6.540529,16.54053,12.682613,54.0,94.0,70.0,1007.9,1009.8,1008.62103,0.0,0.71999997,9.3669195,3.353405,19.148132
20100509T0000,9.040529,15.510529,12.5642805,68.0,96.0,84.0,1006.4,1010.6,1008.67084,6.2999997,1.609969,11.252519,5.5648994,0.39787292
20100510T0000,9.570529,15.030529,12.5713625,80.0,96.0,87.291664,1004.9,1007.1,1005.8293,5.0,1.835647,16.610792,6.125871,107.53508
20100511T0000,8.590529,18.430529,13.132613,60.0,97.0,81.833336,1002.3,1008.1,1005.0833,8.6,1.08,26.6327,9.51667,212.11482
20100512T0000,8.000528,14.830529,11.460113,66.0,96.0,81.916664,1007.0,1008.9,1008.1833,0.5,3.671294,12.605142,7.183289,296.15436
